id,date,publication,author,headline,items
556,2015-12-28,Business Standard,PTI,Open to settle legacy issues out of court,"arbitration, Cairn Energy, retrospective tax"
557,2015-12-28,Daily Post,PTI,Open to out-of-court settlement of legacy tax issues: Adhia,"arbitration, Cairn Energy, retrospective tax"
558,2015-12-28,Free Press,Bureau,Open to out-of-court settlement of legacy tax issues: Revenue Secy,"arbitration, Cairn Energy, retrospective tax"
559,2015-12-28,The Goan,PTI,Centre welcomes proposals to end retrospective tax issues,"arbitration, Cairn Energy, retrospective tax"
560,2020-01-06,The Financial Express,Editorial,Unfair to expect India Inc to be bold,"arbitration, retrospective tax, Cairn Energy"
561,2020-01-08,The Financial Express, Sunil Jain,"Modi wants more oil, govt doesnt play ball",arbitration
562,2020-01-31,The Economic Times,Bureau,Balancing State Regulation & Investor Rights,arbitration
563,2020-02-06,The Economic Times,Bureau,Tax Settlement Scheme Not Open to Launderers,arbitration
564,2020-02-06,The Economic Times,Bureau,Tax Settlement Scheme Not for Launderers: FM.,arbitration
565,2020-02-09,Business Standard,Bloomberg,"Cairn, Voda eligible for tax amnesty in India: Official","arbitration, Cairn Energy"
566,2020-02-10,The Political & Business Daily,PTI,"Vodafone, Cairn eligible to settle tax under new amnesty: Official","arbitration, Cairn Energy"
567,2020-02-13,Business Standard, Dilasha Seth ,Tax resolution Bills ambit set to widen,"arbitration, Cairn plc"
568,2020-02-18,The Economic Times,Author,Resolve Dispute Resolution,"arbitration, Cairn Energy"
569,2020-02-25,The Financial Express,Bureau,Govt to move SC for bulk disposal of tax disputes,arbitration
570,2020-02-25,The Indian Express,Bureau,Govt to move Supreme Court for bulk disposal of tax disputes,arbitration
571,2020-02-26,Business Standard,Author,Unease of doing business,"arbitration, Cairn Energy"
572,2020-03-02,The Economic Times,Author,"No, Oils Not Well at All",arbitration
573,2020-03-11,The Times Of India,Agencies,Cairn expects retro tax award by this summer,"arbitration, Cairn Energy"
574,2020-03-11,Telangana Today,PTI,Cairn expects arbitration in retro tax case,"arbitration, Cairn Energy"
575,2020-04-24,The Times Of India,Author,Leveraging The Covid Crisis,"arbitration, Cairn Energy"
576,2020-05-29,The Free Press Journal,Agencies,Govt seeks $520 mn from Cairn Oil & Gas,arbitration
577,2020-05-29,Mint,PTI,Govt seeks $520 mn from Cairn Oil,arbitration
578,2020-05-29,The Financial Express, Aditi Shah & Sudarshan Varadhan,Nissan settles dispute with Tamil Nadu over unpaid dues,"arbitration, Cairn Energy"
579,2020-05-29,The Financial Express,Bureau,Govt seeks $520 m from Cairn Oil & Gas; co slaps arbitration notice,arbitration
580,2020-05-29,The Times Of India, Sanjay Dutta,Cairn launches arbitration over $520m govt claim,arbitration
581,2020-05-29,The Pioneer,Bureau,Govt seeks USD 520 mn from Cairn Oil & Gas,arbitration
582,2020-05-29,Millennium Post,PTI,Centre seeks $520 million from Cairn Oil & Gas; co slaps arbitration notice,arbitration
583,2020-05-29,The Statesman,PTI,Govt seeks $520 million from Cairn Oil & Gas,arbitration
584,2020-05-29,The Times Of India, Sanjay.Dutta,Cairn launches arbitration over $520m govt claim.,arbitration
585,2020-05-29,Business Standard, SHINE JACOB,Cairn takes govt to arbitration,arbitration
586,2020-05-29,The Times Of India, Sanjay.Dutta,Cairn launches arbitration over $520m govt claim..,arbitration
587,2020-06-01,The Financial Express,Bureau,Cairn seeks arbitration after $520-m govt notice,arbitration
588,2020-06-09,The Financial Express, Indu Bhan,Govt moves SC against allowing of higher recovery to Vedanta,arbitration
589,2020-06-09,Business Standard, SHINE JACOB,A question of contracts,"arbitration, Cairn Energy"
590,2020-06-18,The Financial Express, Indu Bhan,"SC seeks response from Vedanta, orders status quo",arbitration
591,2020-07-22,The Financial Express,PTI,Caim says arbitration ruling expected soon,"arbitration, Cairn Energy"
592,2020-07-22,The Financial Express,PTI,Cairn says arbitration ruling expected soon,"arbitration, Cairn Energy"
593,2020-07-23,Western Times,Bureau,Cairn Energy expects arbitration award on retrospective tax soon,"arbitration, retrospective tax, Cairn Energy"
594,2020-09-14,The Financial Express,PTI,Cairn's Rajasthan oil block licence stuck in cost dispute,arbitration
595,2020-09-14,The Financial Express,PTI,Cairn's Rajasthan oil block licence stuck in cost dispute.,arbitration
596,2020-09-17,The Financial Express, Indu Bhan,Vedanta-Videocon win big in court,arbitration
597,2020-09-17,The Free Press Journal,Agencies,SC rules in favour of $476 m award to Vedanta,arbitration
598,2020-09-17,Mint, Japnam Bindra,Tribunal award in favour of Vedanta upheld by SC,arbitration
599,2020-09-17,Millennium Post,Correspondent,SC upholds foreign tribunal award in favour of Vedanta,arbitration
600,2020-09-17,The Political & Business Daily,PTI,SC upholds foreign tribunal award in favour of Vedanta for developing Ravva oil and gas fields,arbitration
601,2020-09-17,Business Standard, SHINE JACOB,Vedanta wins case for $499-mn award claim,"arbitration, Cairn Energy"
602,2020-09-17,The Indian Express, Indu Bhan,"SC upholds arbitral award, allows Vedanta-Videocon to recover $476 mn",arbitration
603,2020-09-17,The Navhind Times,PTI,Developing Ravva fields: SC upholds foreign tribunal award in favour of Vedanta,arbitration
604,2020-09-17,Hindustan Times,Bureau,Vedanta wins  $499 mn award  Claim against  Centre in sc,arbitration
605,2020-09-17,The Hitavada,Bureau,SC upholds foreign tribunal award in favour of Vedanta,arbitration
606,2020-09-17,The Hitavada,Bureau,SC upholds foreign tribunal award in favour of Vedanta..,arbitration
607,2020-09-17,Free Press,Agencies,SC rules in favour of $476 m award to Vedanta,arbitration
608,2020-09-21,The Financial Express,Bureau,SC rules in favour of Vedanta-Videocon in Ravva oilfields case,arbitration
609,2020-09-21,The Financial Express,Author,"Wont pay my bills, even if court orders","arbitration, retrospective tax"
610,2020-09-26,The Hindu Business Line, Rajesh Kurup,"Rs 20,000-cr tax: Vodafone wins arbitration case against India",arbitration
611,2020-09-26,The Economic Times, Gulveen Aulakh,Voda Ruling may Prompt Firms to Take Same Path,"arbitration, retrospective tax, Cairn Energy"
612,2020-09-26,Millennium Post,Correspondent,Vodafone wins retrospective tax fight against Indian Govt,"arbitration, retrospective tax, Cairn Energy"
613,2020-09-26,The Times Of India,Bureau,Biggest setback for govt in bilateral pacts,"arbitration, retrospective tax, Cairn Energy"
614,2020-09-26,The Financial Express,Bureau,Will govt now challenge Voda award? It does so in most cases,"arbitration, retrospective tax, Cairn Energy"
615,2020-09-26,Business Standard," Aneesh Phadnis, Shrimi Choudhary","Voda wins arbitration in Rs 20,000-crore tax case",arbitration
616,2020-09-26,The Financial Express,Bureau,Other major retrospective/cross-border tax cases,"arbitration, Cairn Energy"
617,2020-09-26,The Free Press Journal,Bureau,VODAFONE WINS RS 20K CR RETRO TAXATION CASE,"arbitration, retrospective tax, Cairn Energy"
618,2020-09-26,The Hindu,Reuters ,Vodafone wins $2 bn tax case,"arbitration, retrospective tax, Cairn Energy"
619,2020-09-26,The Indian Express, Aanchal Magazine,Govt may have to shell out Rs 85 cr if It decides not to appeal,"arbitration, retrospective tax, Cairn Energy"
620,2020-09-26,The Financial Express,Author,Vodafone shows up India in a big way,"arbitration, retrospective tax, Cairn Energy"
621,2020-09-26,Free Press,Bureau,"Vodafone wins Rs 20,000 cr retro tax case against India","arbitration, retrospective tax, Cairn Energy"
622,2020-09-26,Hindustan Times,PTI,"Vodafone Group wins case against govt for 22,000 cr tax","arbitration, retrospective tax, Cairn Energy"
623,2020-09-26,The Pioneer,Bureau,Vodafone wins retro tax fight against India at arbitration tribunal,"arbitration, retrospective tax, Cairn Energy"
624,2020-09-26,The Economic Times, Gulveen.Aulakh,Voda Ruling may Prompt Others to Take Same Route.,"arbitration, Cairn Energy"
625,2020-09-26,The Times Of India,Bureau,Vodafone award biggest setback for the govt in bilateral pact,"arbitration, retrospective tax, Cairn Energy"
626,2020-09-26,The Times Of India,Bureau,Biggest setback for govt in bilateral pacts,"arbitration, retrospective tax, Cairn Energy"
627,2020-09-28,Mint, Jayshree P. Upadhyay & Kalpana Pathak,Vodafone ruling may set precedent for other cases,"arbitration, retrospective tax, Cairn Energy"
628,2020-09-28,Business Standard, Jyoti Mukul,"Impact on Cairn unlikely, basis of scrutiny distinct","retrospective tax, arbitration, Cairn plc"
629,2020-09-28,Business Standard, Megha Manchanda,Dutts knock seals vital win,"arbitration, retrospective tax, Cairn Energy"
630,2020-09-28,Business Standard, Sudipto Dey,"What lies ahead for Indias tax laws, investment pacts","arbitration, retrospective tax, Cairn Energy"
631,2020-09-28,The Hindu Business Line,Editorial,Bury the retro ghost,"arbitration, retrospective tax"
632,2020-09-28,The Pioneer,Editorial,Much needed closure,"arbitration, retrospective tax"
633,2020-09-28,Business Standard, MEGHA MANCHAN,Dutt's knock seals vital win,"arbitration, retrospective tax, Cairn Energy"
634,2020-09-29,Business Standard,Bloomberg,Vodafones $3 bn tax victory shows state overreach perils,"arbitration, retrospective tax, Cairn Energy"
635,2020-09-29,The Hindu Business Line, Surabhi,"India may contest award, but options limited, say experts","arbitration, retrospective tax, Cairn Energy"
636,2020-09-29,The Telegraph,Special Correspondent,Voda arbitration win augurs well for cairn,"arbitration, retrospective tax, Cairn Energy"
637,2020-09-30,Mint,Bureau,Let go of old deals,"arbitration, retrospective tax, Cairn Energy"
638,2020-09-30,Mint, Kalpana Pathak,Cairn seeks $1.4 bn damages from govt,"arbitration, retrospective tax, Cairn Energy"
639,2020-09-30,The Economic Times,Bureau,"Arbitration Ruling Likely Soon, Says Cairn Energy","arbitration, retrospective tax, Cairn Energy"
640,2020-09-30,The Free Press Journal,Agencies,"After Voda jolt, Cairn seeks $1.4 bn over retro tax demand","arbitration, retrospective tax, Cairn Energy"
641,2020-09-30,The Statesman,PTI,Cairn Energy seeks $1.4 billion in losses from retro tax demand,"arbitration, retrospective tax, Cairn Energy"
642,2020-09-30,The Hindu,PTI,Cairn seeks $1.4 bn from Centre due to losses from tax demand,"arbitration, retrospective tax, Cairn Energy"
643,2020-09-30,The Financial Express,PTI,Cairn seeks $1.4 bn in losses from retro tax demand,"arbitration, retrospective tax, Cairn Energy"
644,2020-09-30,Hindustan Times, Kalpana Pathak,CAIRN SEEKS $1.4 BN DAMAGES FROM GOVT,"arbitration, retrospective tax, Cairn Energy"
645,2020-09-30,The Hindu,Author,The perils of state overreach,"arbitration, Cairn Energy"
646,2020-09-30,The Asian Age,Bureau,Retro tax: Cairn seeks $1.4 billion from govt,"arbitration, retrospective tax, Cairn Energy"
647,2020-09-30,Deccan Chronicle,Bureau,Retro tax: Cairn seeks $1.4 billion from govt,"arbitration, retrospective tax, Cairn Energy"
648,2020-09-30,Free Press,Agencies,"After Voda jolt, Cairn seeks $1.4 bn over retro tax demand","arbitration, retrospective tax, Cairn Energy"
649,2020-09-30,The Pioneer,Bureau,Cairn seeks $1.4 bn in losses from retro tax demand,"arbitration, retrospective tax, Cairn Energy"
650,2020-09-30,The Political & Business Daily,Bureau,"Retro tax demand: After Voda, now Cairn sees $1.4 bn losses","arbitration, retrospective tax, Cairn Energy"
651,2020-09-30,The Tribune,PTI,Cairn Energy seeks $1.4 bn in losses from retro tax demand,"arbitration, retrospective tax, Cairn Energy"
652,2020-10-01,The Pioneer,Author,Lessons from Vodafone,"arbitration, Cairn Energy"
653,2020-10-02,The Tribune,Author,New tax philosophy for an emergent economy,"arbitration, retrospective tax, Cairn Energy"
654,2020-10-05,The Free Press Journal,Agencies,Govt may challenge Vodafone arbitration in Singapore court,"arbitration, Cairn Energy"
655,2020-10-05,Mint,PTI,Govt weighs its options in Voda tax arbitration case,"arbitration, retrospective tax, Cairn Energy"
656,2020-10-05,The Hitavada,PTI,Govt weighs legal options in Vodafone tax arbitration case,"arbitration, Cairn Energy"
657,2020-10-05,Millennium Post,Correspondent,Govt weighs legal options in Vodafone tax arbitration case,"arbitration, retrospective tax, Cairn Energy"
658,2020-10-05,Deccan Herald,PTI,Govt weighs legal options in Vodafone tax arbitration case,"arbitration, Cairn Energy"
659,2020-10-05,The Financial Express,PTI,Govt weighs legal options in Voda tax arbitration case,"arbitration, Cairn Energy"
660,2020-10-05,Hindustan Times,Bureau,Govt weighs its options in Vodafone tax case,"arbitration, Cairn Energy"
661,2020-10-05,Free Press,Agencies,Govt may challenge Vodafone arbitration in Singapore court,"arbitration, Cairn Energy"
662,2020-10-05,The Financial Express,PTI,Govt weighs legal options,"arbitration, Cairn Energy"
663,2020-10-05,Hindustan Times,PTI,Govt weighs its options  in Vodafone tax case,"arbitration, Cairn Energy"
664,2020-10-05,The Political & Business Daily,Bureau,Govt weighs legal options after losing Vodafone case,"arbitration, Cairn Energy"
665,2020-10-05,The Political & Business Daily,PTI,Govt weighs legal options after losing Vodafone tax arbitration case,"arbitration, retrospective tax, Cairn Energy"
666,2020-10-05,Hindustan Times,Bureau,Govt weighs its options  in Vodafone tax case.,"arbitration, Cairn Energy"
667,2020-10-05,The Times Of India,Bureau,Voda tax case: Govt weighs legal options,"arbitration, Cairn Energy"
668,2020-10-05,Telangana Today,Bureau,Voda case:Govt weighs legal options,"arbitration, retrospective tax, Cairn Energy"
669,2020-10-05,Eastern Chronicle,Agencies,Centre weighs legal options in Vodafone tax arbitration case,"arbitration, retrospective tax, Cairn Energy"
670,2020-10-05,Samay Paribartan,Bureau,Govt weighs legal options in Vodafone tax arbitration case,"arbitration, retrospective tax, Cairn Energy"
671,2020-10-06,Business Standard, Jyoti Mukul,The slippery slope of back-dated law,"arbitration, Cairn plc, retrospective tax"
672,2020-10-07,Echo Of India,PTI,Govt weighs legal options in Vodafone tax arbitration case,"arbitration, retrospective tax, Cairn Energy"
673,2020-10-07,The Economic Times,Author,Cross-Border Hypocrisy,"arbitration, Cairn Energy"
674,2020-10-15,Business Standard, Shrimi Choudhary,AG not in favour of appealing against Voda arbitration award,arbitration
675,2020-11-06,The Financial Express,Editorial,"My country, my rules","arbitration, retrospective tax, Cairn Energy"
676,2020-11-10,The Economic Times, Sanjeev Choudhary,Govt Moves HC to Recover $500 M from Vedanta,"arbitration, Cairn Energy"
677,2020-11-10,The Economic Times, Sanjeev.Choudhary,Govt Moves High Court to Recover $500M Dues from Vedanta,"arbitration, Cairn Energy"
678,2020-11-19,Business Standard, Shyamal Majumdar,Making a mockery of arbitration,"arbitration, retrospective tax, Cairn Energy"
679,2020-11-24,The Free Press Journal,Agencies,Cairn arbitration may decide govts appeal against Vodafone case verdict,"arbitration, retrospective tax, Cairn Energy"
680,2020-11-24,The Hitavada,PTI,Is Govt waiting for Cairn arbitration award to decide on Vodafone appeal?,"arbitration, retrospective tax, Cairn Energy"
681,2020-11-24,Business Standard,PTI,Govt may be waiting for Cairn arbitration to decide onVodafone,"arbitration, retrospective tax, Cairn Energy"
682,2020-11-24,Free Press,Agencies,Cairn arbitration may decide govts appeal against Vodafone case verdict,"arbitration, retrospective tax, Cairn Energy"
683,2020-12-01,The Economic Times, Deepshikha Sikarwar,Vodafone Award Issue Discussed with PM Modi,"arbitration, Cairn plc, retrospective tax"
684,2020-12-24,The Pioneer,PTI,India ordered to pay up to $1.4 bn to Cairn Energy,"arbitration, Cairn Energy"
685,2020-12-24,The Statesman,PTI,"Govt loses Cairn case, asked to pay Rs 10,500 cr in damages","arbitration, retrospective tax, Cairn Energy"
686,2020-12-24,The Economic Times,Bureau,India Asked to Pay Cairn Energy $1.2b,"arbitration, retrospective tax, Cairn Energy"
687,2020-12-24,Business Standard, Dilasha Seth ,Cairn verdict may push govt to appeal Voda order: Officials,"arbitration, Cairn Energy"
688,2020-12-24,The Hans India,Bureau,Cairn gains in Indias Rs 10k-cr retro tax case,"arbitration, retrospective tax, Cairn Energy"
689,2020-12-24,The Indian Express, AASHISH ARYAN,Cairn arbitration: Why the ruling went against India,"arbitration, retrospective tax, Cairn Energy"
690,2020-12-24,Mint, Gireesh Chandra Prasad,Focus on Voda tax dispute post Cairn ruling,"arbitration, Cairn Energy"
691,2020-12-24,The Hindu Business Line,Bureau,Retro tax flare-up: India loses Cairn case,"arbitration, retrospective tax, Cairn Energy"
692,2020-12-24,The Pioneer,Bureau,Cairn wins tax arbitration; India ordered to pay $1.2 bn,"arbitration, Cairn Energy"
693,2020-12-24,Millennium Post,Correspondent,India ordered to pay up to $1.4 billion to Cairn Energy,"arbitration, retrospective tax, Cairn Energy"
694,2020-12-24,Mint, Gireesh Chandra Prasad,Cairn wins $1.2 bn in damages in tax row,"arbitration, Cairn Energy"
695,2020-12-24,The Economic Times, Gulveen Aulakh,Cairn Award Likely to Benefit Vedanta in Tax Demand Case,"arbitration, Cairn Energy"
696,2020-12-24,Western Times,Bureau,Cairn Energy wins arbitration award against India in tax dispute,"arbitration, Cairn Energy"
697,2020-12-24,The Economic Times,Bureau,Case File: Cairn Arbitration Award,"arbitration, retrospective tax, Cairn Energy"
698,2020-12-24,Business Standard, Dilasha Seth & Jyoti Mukul,Cairn wins $1.2 billion in tax arbitration case,"arbitration, retrospective tax, Cairn plc, Cairn Energy"
699,2020-12-24,The Financial Express,Bureau,"After Vodafone, India loses Cairn case too","arbitration, Cairn Energy"
700,2020-12-24,The Times Of India,Bureau,All eyes on govt stance in Voda case,"arbitration, retrospective tax"
701,2020-12-24,The Indian Express, AASHISH ARYAN,"Retrospective tax: After Vodafone, India loses Cairn arbitration case","arbitration, retrospective tax, Cairn Energy"
702,2020-12-24,The Hitavada,PTI,India ordered to pay up to $1.4 bn to Cairn Energy,"arbitration, Cairn Energy"
703,2020-12-24,The Times Of India,Bureau,"Govt loses retro tax case vs Cairn too, told to pay $1.4bn","arbitration, Cairn Energy"
704,2020-12-24,Deccan Herald, Upmanyu Trivedi and Shruti Srivastava,Govt asked to pay Rs 8.8k cr to Cairn after arbitration,"arbitration, retrospective tax, Cairn Energy"
705,2020-12-24,Business Standard,Bureau,Twin blows in three months,"retro tax, arbitration, retrospective tax"
706,2020-12-24,The Free Press Journal,Bureau,Centre to mull next move after studying the award,"arbitration, Cairn Energy"
707,2020-12-24,The Free Press Journal,Bureau,"India loses Cairn arbitration case, may have to pay $1.4 bn","arbitration, Cairn Energy"
708,2020-12-24,The Economic Times,Editorial,Accept the Cairn Arbitration Award,"arbitration, retrospective tax, Cairn Energy"
709,2020-12-24,The Financial Express,Author,Dont get it wrong again on Cairn,"arbitration, retrospective tax, Cairn Energy"
710,2020-12-24,Hindustan Times, Gireesh Chandra Prasad,Cairn wins $1.2 billion award in damages in tax row with Centre,"arbitration, Cairn Energy"
711,2020-12-24,The Hindu,Bureau,Cairn Energy wins arbitration award,"arbitration, retrospective tax, Cairn Energy"
712,2020-12-24,Free Press,Bureau,"India loses Cairn arbitration case, may have to pay $1.4 bn","arbitration, Cairn Energy"
713,2020-12-24,OHeraldo,Bureau,Retro Tax Arbitration: India ordered to pay up to $1.4 b to Cairn Energy,"arbitration, retrospective tax, Cairn Energy"
714,2020-12-24,The Tribune,PTI,India told to pay Rs 10.5K cr to UKfirm,"arbitration, Cairn Energy"
715,2020-12-24,The Navhind Times,Bureau,Cairn Energy wins arbitration award against India in tax dispute,"arbitration, Cairn Energy"
716,2020-12-24,The Political & Business Daily,Bureau,India suffers setback in Cairn case,"arbitration, retrospective tax, Cairn Energy"
717,2020-12-24,The Indian Express, Aashish Aryan & Aanchal Magazine,"Retrospective tax: After Vodafone, India loses Cairn arbitration case..","arbitration, retrospective tax, Cairn Energy"
718,2020-12-24,The Asian Age,Bureau,Tribunal asks India to pay Cairn $14bn,"arbitration, Cairn Energy"
719,2020-12-24,The Asian Age,PTI,"Cairn wins arbitration, Centre told to pay $1.4b","arbitration, Cairn Energy"
720,2020-12-24,Hindustan Times,PTI,Govt asked to pay $1.4 bn to Cairn after arbitration loss,"arbitration, retrospective tax, Cairn Energy"
721,2020-12-24,Deccan Chronicle,PTI,"Cairn wins arbitration, Centre told to pay $1.4b","arbitration, Cairn Energy"
722,2020-12-24,Hindustan Times,Bureau,India ordered To pay $1.2bn to Cairn energy By arbitrator,"arbitration, Cairn Energy"
723,2020-12-24,Hindustan Times,Bureau,India ordered to pay $1.2bn to cairn energy..,"arbitration, Cairn Energy"
724,2020-12-24,Hindustan Times,Bureau,India ordered To pay $1.4bn to Cairn energy by Arbitrator,"arbitration, Cairn Energy"
725,2020-12-24,The Telegraph,Special Correspondent,Centre told to pay $1.2bn cairn,"arbitration, retrospective tax, Cairn Energy"
726,2020-12-24,The Indian Express,Bureau,The Hague Gains,"arbitration, Cairn Energy"
727,2020-12-24,The Navhind Times,Bureau,India ordered to pay up to $1.4 bn to Cairn Energy,"arbitration, Cairn Energy"
728,2020-12-24,The Goan,Bureau,India ordered to pay $1.4 bn to Cairn Energy,"arbitration, retrospective tax, Cairn Energy"
729,2020-12-24,The Economic Times, Gulveen Aulakh,Cairn Award Likely to Benefit Vedanta in Tax Demand Case.,"arbitration, Cairn Energy"
730,2020-12-24,Bright Punjab Express,Bureau,Cairn Energy wins arbitration award against India in tax dispute,"arbitration, Cairn Energy"
731,2020-12-24,The Pioneer,Bureau,India ordered to pay up to $1.4bn to Cairn Energy,"arbitration, Cairn Energy"
732,2020-12-24,The Economic Times,Bureau,India Asked to Pay Cairn $1.2b,"arbitration, retrospective tax, Cairn Energy"
733,2020-12-24,The Times Of India,Bureau,"After voda, govt loses retro tax case against cairn","arbitration, Cairn Energy"
734,2020-12-24,The Times Of India,Bureau,"After Voda, govt loses retro tax  case  against  Cairn","arbitration, Cairn Energy"
735,2020-12-25,Mint, Aftab Ahmed & Aditi Shah,Govt challenges Vodafone ruling in Spore court,"arbitration, retrospective tax, Cairn Energy"
736,2020-12-25,The Statesman,PTI,Govt challenges Vodafone arbitration ruling in court,"arbitration, Cairn Energy"
737,2020-12-25,The Hindu Business Line,Bureau,Retro tax: India challenges Voda arbitration ruling in Singapore,"arbitration, retrospective tax, Cairn Energy"
738,2020-12-25,The Economic Times,Bureau,India Contests Vodafone Award in Spore Court,"arbitration, retrospective tax, Cairn Energy"
739,2020-12-25,The Times Of India,Bureau,Govt challenges Voda tax order in Singapore,"arbitration, retrospective tax, Cairn Energy"
740,2020-12-25,Millennium Post,PTI,India challenges Vodafone arbitration tribunal verdict in Singapore court,"arbitration, Cairn Energy"
741,2020-12-25,The Hitavada,PTI,Vodafone arbitration ruling in Singapore court challenged,"arbitration, Cairn Energy"
742,2020-12-25,The Free Press Journal,Agencies,India challenges Vodafone arbitration after Cairn jolt,"arbitration, Cairn Energy"
743,2020-12-25,Deccan Herald,PTI,India challenges Vodafone arbitration ruling in Singapore court,"arbitration, Cairn Energy"
744,2020-12-25,Business Standard, Dilasha Seth ,India challenges Vodafone tax ruling in Singapore,"arbitration, Cairn Energy"
745,2020-12-25,The Indian Express, AASHISH ARYAN,Vodafone case: India challenges ruling,"arbitration, retrospective tax, Cairn Energy"
746,2020-12-25,The Financial Express, Aftab Ahmed & Aditi Shah,Govt challenges Vodafone award in Singapore,"arbitration, retrospective tax, Cairn Energy"
747,2020-12-25,The Hindu,PTI,India files appeal in Vodafone case,"arbitration, Cairn Energy"
748,2020-12-25,Hindustan Times,Agencies,India challenges verdict in $2-bn Vodafone case,"arbitration, retrospective tax, Cairn Energy"
749,2020-12-25,Hindustan Times,Bureau,Centre challenges Vodafone arbitration ruling in Singapore,"arbitration, retrospective tax, Cairn Energy"
750,2020-12-25,The Pioneer,Bureau,India challenges Rs 22K cr Vodafone arbitration ruling in Singapore court,"arbitration, Cairn Energy"
751,2020-12-25,Free Press,Agencies,India challenges Vodafone arbitration after Cairn jolt,"arbitration, Cairn Energy"
752,2020-12-25,The Tribune,Bureau,India challenges Vodafone arbitration ruling in Spore,"arbitration, retrospective tax, Cairn Energy"
753,2020-12-25,The Assam Tribune,PTI,India challenges Vodafone arbitration ruling in Singapore court,"arbitration, Cairn Energy"
754,2020-12-25,Deccan Chronicle,PTI,India challenges tribunal verdict in Vodafone case in Singapore court,"arbitration, Cairn Energy"
755,2020-12-25,The Hindu,PTI,India files appeal against Vodafone case verdict,"arbitration, Cairn Energy"
756,2020-12-25,The Pioneer,Bureau,India challenges Rs 22K cr Vodafone arbitration ruling in Singapore court...,"arbitration, Cairn Energy"
757,2020-12-25,The Pioneer,Bureau,"India challenges Rs 22K cr Vodafone arbitration ruling in Singapore court..,,","arbitration, Cairn Energy"
758,2020-12-25,Hindustan Times,Reuters ,Centre challenges Vodafone arbitration ruling in Singapore.,"arbitration, retrospective tax, Cairn Energy"
759,2020-12-25,The Economic Times,Bureau,India Contests Vodafone Award is S'pore Court,"arbitration, retrospective tax, Cairn Energy"
760,2020-12-25,The Tribune,Reuters ,India Challenges Vodafone arbitration ruling in S'pore.,"arbitration, retrospective tax, Cairn Energy"
761,2020-12-25,The Morning Standard,Bureau,India challenges Vodafone arbitration award in S'pore.,"arbitration, retrospective tax"
762,2020-12-25,The Times Of India,Bureau,India Contests Vodafone Award in S'pore Court.,"arbitration, retrospective tax, Cairn Energy"
763,2020-12-25,Hindustan Times,Agencies,Govt challenges Vodafone ruling in Singapore court,"arbitration, retrospective tax, Cairn Energy"
764,2020-12-25,The Hindu,Letters,Letters to the editor,"arbitration, Cairn Energy"
765,2020-12-25,The Economic Times,Letters,Chat Room,"arbitration, retrospective tax, Cairn Energy"
766,2020-12-25,The Times Of India,Editorial,Break Away,"arbitration, retrospective tax, Cairn Energy"
767,2020-12-25,The Hindu,Editorial,Learning to let go,"arbitration, retrospective tax, Cairn plc"
768,2020-12-25,The Indian Express,Editorial,Bury the legacy,"arbitration, Cairn Energy"
769,2020-12-26,The Free Press Journal,Editorial,Retrospective amendment must be scrapped,"arbitration, Cairn plc, retrospective tax"
770,2020-12-26,The Hindu Business Line,Letters,Letters to the editor,"retro tax, arbitration, Cairn Energy"
771,2020-12-26,Free Press,Editorial,Retrospective amendment must be scrapped,"arbitration, Cairn plc, retrospective tax"
772,2020-12-26,Western Times,Editorial,Bury the legacy,"arbitration, Cairn Energy"
773,2020-12-26,Business Standard, Sudipto Dey,"Vodafone, Cairn retro tax cases in for long haul","arbitration, retrospective tax, Cairn Energy"
774,2020-12-27,The Political & Business Daily,Editorial,Vodafone case,"arbitration, Cairn Energy"
775,2020-12-28,The Asian Age,Editorial,"Challenge to Vodafone ill-advised, withdraw it","arbitration, retrospective tax, Cairn Energy"
776,2020-12-28,The Hindu Business Line,Editorial,To tax and to please,"arbitration, Cairn Energy"
777,2020-12-28,The Times Of India,Bureau,Cairn case: Tribunal cites PMs views on retro tax,"arbitration, retrospective tax, Cairn Energy"
778,2020-12-28,Millennium Post,PTI,"Arbitration panel cites PM, Mins assertion on retro tax to overturn Cairn tax demand","arbitration, Cairn Energy"
779,2020-12-28,Business Standard,PTI,Hague court cites 2014 poll promise to overturn Cairn retro tax demand,"arbitration, retrospective tax, Cairn Energy"
780,2020-12-28,The Financial Express,Bureau,India asked to pay up to $1.4 bn to Cairn over tax claim,"arbitration, Cairn Energy"
781,2020-12-28,Deccan Herald,PTI,"Arbitration panel cites PM, minister's assertion on retro tax to overturn Cairn tax demand","arbitration, Cairn Energy"
782,2020-12-28,The Asian Age,Bureau,Panel cites PM to reject Indias Cairn tax claim,"arbitration, retrospective tax, Cairn Energy"
783,2020-12-28,Deccan Chronicle,Bureau,Panel cites PM to reject Indias Cairn tax claim,"arbitration, retrospective tax, Cairn Energy"
784,2020-12-28,Deccan Chronicle,PTI,Panel cites PM to reject Indias Cairn tax claim,"arbitration, retrospective tax, Cairn Energy"
785,2020-12-28,The Political & Business Daily,Bureau,"Arbitration tribunal cites PM Modi, Ministers' assertion on retro tax to overturn Cairn tax demand","arbitration, Cairn Energy"
786,2020-12-28,The Times Of India,PTI,Cairn case: Arbitration panel cites PM's view on retro tax,"arbitration, retrospective tax, Cairn Energy"
787,2020-12-28,The Times Of India,PTI,Cairn case: Tribunal cites PM’s views on retro tax.,"arbitration, retrospective tax, Cairn Energy"
