id,date,publication,author,headline,items
1364,2021-07-09,Deccan Chronicle,Agencies,French Court Lets Cairn Seize 20 Indian Assets,"Cairn Energy, arbitration"
1365,2021-07-09,The Economic Times,Bureau,"Cairn Dispute: India Keeps Legal, Talk Options Open","Cairn Energy, arbitration"
1366,2021-07-09,Hindustan Times, Rajeev Jayaswal and Rezaul H Laskar,Govt weighs options as Cairn wins Paris assets.,"Cairn Energy, retrospective tax, arbitration"
1367,2021-07-09,Hindustan Times, Rajeev Jayaswal and  Rezaul H Laskar,India set to contest  Paris order on Cairn.,"Cairn Energy, retrospective tax, arbitration"
1368,2021-07-09,The Pioneer,Bureau,Cairn wins French court order to seize Indian properties in Paris,"Cairn Energy, arbitration"
1369,2021-07-09,The Times Of India,Bureau,Cairn case: French court orders govts Paris properties frozen.....,"Cairn Energy, arbitration"
1370,2021-07-09,The Times Of India,Bureau,Cairn tax dispute: French court freezes 20 govt assets in Paris,"Cairn Energy, arbitration"
1371,2021-07-09,The Times Of India,Bureau,Cairn case: French court orders govt's Paris properties frozen,"Cairn Energy, arbitration"
1372,2021-07-09,The Hindu Business Line,Bureau,Will pursue all legal options against Cairn: Government,"Cairn Energy, arbitration"
1373,2021-07-09,Millennium Post,Bureau,India says it has not received order from any French court,"Cairn Energy, arbitration"
1374,2021-07-09,The Free Press Journal,*******,Cairn threatens to seize  Indian assets in Paris,"Cairn Energy, arbitration"
1375,2021-07-09,The Economic Times,Bureau,"Cairn Dispute: India Keeps Legal, Talks Options Open","Cairn Energy, arbitration"
1376,2021-07-09,Business Standard, Jyoti Mukul & Dilasha Seth ,Cairn wins freeze on govt assets in Paris,"Cairn Energy, arbitration"
1377,2021-07-09,The Times Of India,Bureau,Cairn case: French court orders govts Paris properties frozen,"Cairn Energy, retrospective tax, arbitration"
1378,2021-07-09,The Times Of India,Bureau,Cairn case: French court orders govts Paris properties frozen.,"Cairn Energy, arbitration"
1379,2021-07-09,The Financial Express,Bureau,Cairn gets order to attach India assets,"Cairn Energy, arbitration"
1380,2021-07-09,The Financial Express,PTI,Sanofi-GSK vaccine gets Ph-3 trial nod,"Cairn Energy, arbitration"
1381,2021-07-09,The Political & Business Daily,PTI,Cairn wins French court order to seize Indian assets in Paris,"Cairn Energy, arbitration"
1382,2021-07-09,Hindustan Times, Rajeev Jayaswal and Rezaul H Laskar,Govt weighs options as Cairn wins Paris assets,"Cairn Energy, retrospective tax, arbitration"
1383,2021-07-09,The Hindu," Suhasini Haidar, Vikas Dhoot",Cairn says it has got court nod to attach 20 Indian assets in Paris,"Cairn Energy, retrospective tax, arbitration"
1384,2021-07-09,The Tribune,Bureau,French court lets Cairn seize20 Indian assets,"Cairn Energy, arbitration"
1385,2021-07-09,Mint, Gireesh Chandra Prasad & Elizabeth Roche,Paris court seizes India assets over Cairn case,"Cairn Energy, arbitration"
1386,2021-07-09,The Indian Express,*******,Cairn gets ruling to freeze Indian assets in Paris,"Cairn Energy, retrospective tax, arbitration"
